order_id,order_date,store_id,customer_id,channel,payment_method,order_status
O0000315,17-11-2024,S027,C00422,Online,Card,Returned
O0000316,16-11-2023,S035,C00792,In-Store,Cash,Cancelled
O0000317,26-09-2025,S033,C01178,Online,Cash,Cancelled
O0000318,20-04-2024,S018,C01039,Online,Wallet,Completed
O0000319,15-06-2023,S029,C00890,Online,Wallet,Completed
O0000320,21-11-2025,S016,C00359,Click&Collect,Card,Cancelled
O0000321,28-09-2025,S011,C00630,Click&Collect,Wallet,Returned
O0000322,24-02-2023,S027,C00602,Online,Card,Cancelled
O0000323,16-09-2025,S019,C01035,Online,Cash,Returned
O0000324,04-11-2025,S009,C00048,Click&Collect,Card,Completed
O0000325,27-06-2025,S027,C00028,In-Store,Cash,Completed
O0000326,07-10-2023,S013,C00142,Click&Collect,Cash,Completed
O0000327,22-11-2024,S024,C01150,Click&Collect,Cash,Returned
O0000328,12-08-2024,S015,C00649,Click&Collect,Card,Cancelled
O0000329,10-11-2024,S036,C00840,Online,Card,Returned
O0000330,06-11-2024,S035,C00114,In-Store,Wallet,Returned
O0000331,01-12-2024,S019,C00016,In-Store,Card,Cancelled
O0000332,17-07-2024,S029,C00781,Click&Collect,Card,Returned
O0000333,26-01-2025,S008,C00847,In-Store,Wallet,Cancelled
O0000334,31-07-2024,S040,C00513,Click&Collect,Card,Completed
O0000335,19-01-2023,S009,C00100,Click&Collect,Card,Completed
O0000336,08-02-2023,S035,C00588,Click&Collect,Cash,Returned
O0000337,16-11-2025,S034,C00768,In-Store,Cash,Completed
O0000338,23-09-2025,S008,C00257,In-Store,Card,Cancelled
O0000339,03-10-2024,S001,C00362,Online,Cash,Cancelled
O0000340,11-07-2023,S030,C00897,Click&Collect,Wallet,Returned
O0000341,06-05-2025,S035,C00255,Online,Wallet,Returned
O0000342,07-06-2023,S029,C00119,Online,Card,Returned
O0000343,18-02-2024,S003,C00754,In-Store,Wallet,Completed
O0000344,28-12-2023,S026,C00028,In-Store,Wallet,Completed
O0000345,14-01-2023,S016,C00521,In-Store,Wallet,Returned
O0000346,03-06-2025,S037,C00684,Online,Wallet,Cancelled
O0000347,12-07-2024,S033,C00078,Click&Collect,Wallet,Cancelled
O0000348,13-12-2023,S032,C00784,Click&Collect,Wallet,Completed
O0000349,09-07-2024,S017,C00987,Online,Card,Completed
O0000350,01-01-2023,S013,C01169,In-Store,Card,Cancelled
O0000351,23-04-2024,S033,C00320,Online,Cash,Completed
O0000352,23-07-2024,S005,C00393,Click&Collect,Card,Completed
O0000353,08-01-2024,S005,C00742,In-Store,Card,Returned
O0000354,29-06-2025,S003,C00720,In-Store,Card,Cancelled
O0000355,01-10-2023,S021,C00732,Online,Cash,Completed
O0000356,01-06-2023,S004,C00378,Click&Collect,Wallet,Completed
O0000357,01-08-2024,S024,C00068,In-Store,Card,Cancelled
O0000358,30-08-2025,S007,C00030,Click&Collect,Cash,Completed
O0000359,16-02-2024,S036,C01197,Online,Wallet,Completed
O0000360,21-02-2023,S018,C00488,Online,Cash,Completed
O0000361,29-11-2025,S004,C00538,Click&Collect,Card,Returned
O0000362,01-05-2024,S028,C00752,Online,Wallet,Completed
O0000363,09-07-2023,S014,C00247,Online,Card,Returned
O0000364,05-11-2024,S011,C00459,Online,Card,Completed
O0000365,17-12-2023,S027,C00525,In-Store,Cash,Completed
O0000366,24-10-2025,S039,C00114,Online,Card,Completed
O0000367,19-11-2023,S040,C00724,In-Store,Card,Completed
O0000368,25-08-2024,S018,C00233,Click&Collect,Wallet,Completed
O0000369,18-08-2024,S034,C00004,Online,Card,Completed
O0000370,23-09-2023,S009,C00746,Online,Cash,Cancelled
O0000371,01-07-2024,S034,C00361,In-Store,Wallet,Returned
O0000372,30-04-2023,S038,C00862,In-Store,Card,Cancelled
O0000373,06-12-2024,S021,C00644,In-Store,Card,Completed
O0000374,11-04-2025,S021,C00035,In-Store,Wallet,Cancelled
O0000375,07-11-2025,S023,C00834,Click&Collect,Wallet,Cancelled
O0000376,24-12-2023,S003,C00049,Click&Collect,Cash,Returned
O0000377,09-11-2023,S035,C00376,In-Store,Wallet,Cancelled
O0000378,24-08-2024,S030,C00824,Click&Collect,Cash,Completed
O0000379,29-01-2025,S035,C00485,In-Store,Card,Completed
O0000380,23-12-2025,S005,C00462,Online,Wallet,Cancelled
O0000381,28-01-2023,S033,C00266,In-Store,Card,Completed
O0000382,19-09-2023,S015,C00533,Click&Collect,Wallet,Completed
O0000383,15-10-2023,S033,C00352,In-Store,Cash,Completed
O0000384,07-10-2023,S040,C01136,In-Store,Cash,Completed
O0000385,23-05-2024,S036,C00825,Click&Collect,Wallet,Cancelled
O0000386,14-08-2025,S037,C01091,Click&Collect,Wallet,Returned
O0000387,03-02-2023,S005,C00405,Online,Wallet,Cancelled
O0000388,13-06-2025,S014,C01141,Online,Cash,Cancelled
O0000389,07-11-2024,S012,C00336,In-Store,Card,Returned
O0000390,05-11-2024,S021,C00371,Online,Wallet,Cancelled
O0000391,13-01-2025,S040,C00359,Click&Collect,Card,Returned
O0000392,07-05-2023,S028,C00708,Click&Collect,Card,Returned
O0000393,29-03-2025,S022,C00736,In-Store,Cash,Completed
O0000394,29-09-2023,S033,C00078,In-Store,Card,Completed
O0000395,20-07-2024,S008,C00673,In-Store,Cash,Cancelled
O0000396,11-01-2025,S027,C01144,Online,Wallet,Cancelled
O0000397,23-10-2024,S021,C00489,Click&Collect,Cash,Cancelled
O0000398,21-12-2023,S009,C00840,In-Store,Cash,Returned
O0000399,10-03-2024,S026,C00759,In-Store,Cash,Completed
O0000400,06-06-2024,S034,C01176,In-Store,Wallet,Cancelled
O0000401,15-02-2023,S034,C00772,In-Store,Wallet,Cancelled
O0000402,06-03-2025,S034,C00565,Click&Collect,Card,Completed
O0000403,20-04-2023,S033,C00016,Online,Wallet,Completed
O0000404,17-05-2024,S019,C00965,Online,Card,Returned
O0000405,18-12-2024,S002,C00407,Online,Cash,Completed
O0000406,30-03-2023,S039,C01110,In-Store,Card,Cancelled
O0000407,27-12-2025,S019,C00294,Online,Wallet,Cancelled
O0000408,18-02-2024,S026,C00525,Click&Collect,Wallet,Returned
O0000409,18-01-2023,S001,C00995,Click&Collect,Cash,Returned
O0000410,22-12-2024,S036,C00183,Click&Collect,Wallet,Completed
O0000411,03-09-2024,S036,C00331,In-Store,Card,Completed
O0000412,02-12-2024,S038,C00951,In-Store,Cash,Completed
O0000413,03-04-2025,S007,C00381,Click&Collect,Cash,Completed
O0000414,05-06-2024,S034,C01150,Click&Collect,Cash,Completed
O0000415,25-06-2025,S025,C00646,Online,Cash,Completed
O0000416,10-02-2024,S006,C00991,Online,Card,Completed
O0000417,20-08-2024,S023,C00657,Online,Wallet,Completed
O0000418,23-06-2023,S020,C00055,In-Store,Card,Returned
O0000419,10-11-2024,S026,C00974,In-Store,Wallet,Cancelled
O0000420,14-10-2023,S004,C00504,Online,Cash,Completed
O0000421,02-02-2025,S023,C00466,Online,Cash,Returned
O0000422,27-05-2025,S028,C00884,In-Store,Cash,Cancelled
O0000423,30-07-2025,S029,C00338,In-Store,Cash,Completed
O0000424,15-10-2025,S031,C00514,Click&Collect,Cash,Returned
O0000425,15-05-2023,S026,C00730,Online,Card,Cancelled
O0000426,01-06-2023,S029,C00712,Click&Collect,Wallet,Returned
O0000427,12-10-2025,S004,C00874,Online,Cash,Completed
